exp,run,event_num,label
amo06516,96,959,0
amo06516,96,1414,4
amo06516,96,1577,3
amo06516,96,1606,1
amo06516,96,1615,3
amo06516,96,2469,3
amo06516,96,2750,3
amo06516,96,2781,0
amo06516,96,3012,0
amo06516,96,3053,0
amo06516,96,3130,3
amo06516,96,3615,0
amo06516,96,3728,3
amo06516,96,3754,4
amo06516,96,4106,1
amo06516,96,4210,4
amo06516,96,4441,4
amo06516,96,5042,2
amo06516,96,5088,0
amo06516,96,5389,2
amo06516,96,5813,3
amo06516,96,5986,2
amo06516,96,6165,2
amo06516,96,6689,1
amo06516,96,6695,3
amo06516,96,7407,1
amo06516,96,7617,4
amo06516,96,7743,0
amo06516,96,7904,0
amo06516,96,7993,4
amo06516,96,8128,3
amo06516,96,8517,3
amo06516,96,8910,3
amo06516,96,10094,3
amo06516,96,10206,3
amo06516,96,10229,3
amo06516,96,10330,0
amo06516,96,10390,0
amo06516,96,10529,0
amo06516,96,10594,3
amo06516,96,10686,4
amo06516,96,10834,3
amo06516,96,11541,3
amo06516,96,11616,3
amo06516,96,11653,0
amo06516,96,12103,3
amo06516,96,12486,3
amo06516,96,12728,3
amo06516,96,12767,3
amo06516,96,12834,3
amo06516,96,12979,3
amo06516,96,13075,2
amo06516,96,13580,0
amo06516,96,13835,2
amo06516,96,14042,3
amo06516,96,14166,3
amo06516,96,14233,2
amo06516,96,14498,3
amo06516,96,14649,1
amo06516,96,14808,3
amo06516,96,14880,3
amo06516,96,15066,3
amo06516,96,15373,1
amo06516,96,15820,2
amo06516,96,16096,1
amo06516,96,16465,3
amo06516,96,16528,0
amo06516,96,16704,1
amo06516,96,16852,3
amo06516,96,17079,3
amo06516,96,17280,3
amo06516,96,17317,2
amo06516,96,18990,0
amo06516,96,19415,0
amo06516,96,19775,1
amo06516,96,19869,1
amo06516,96,20500,4
amo06516,96,20856,4
amo06516,96,21612,4
amo06516,96,22152,1
amo06516,96,22246,2
amo06516,96,22987,1
amo06516,96,23047,1
amo06516,96,23840,2
amo06516,96,24315,1
amo06516,96,24327,2
amo06516,96,24338,0
amo06516,96,24445,4
amo06516,96,24458,0
amo06516,96,24543,4
amo06516,96,25058,1
amo06516,96,25354,1
amo06516,96,26866,1
amo06516,96,29200,4
amo06516,96,30315,1
amo06516,96,31505,4
amo06516,96,33108,4
amo06516,96,34269,1
amo06516,96,34837,0
amo06516,96,35429,4
amo06516,96,35575,1
amo06516,96,36937,1
amo06516,96,36998,4
amo06516,96,37082,2
amo06516,96,38487,1
amo06516,96,38528,4
amo06516,96,39568,2
amo06516,96,40583,4
amo06516,96,41538,1
amo06516,96,41573,0
amo06516,96,41691,4
amo06516,96,41743,2
amo06516,96,42894,4
amo06516,96,42973,1
amo06516,96,43588,4
amo06516,96,43875,0
amo06516,96,44946,1
amo06516,96,45439,1
amo06516,96,47356,4
amo06516,96,47612,2
amo06516,96,47665,2
amo06516,96,48099,1
amo06516,96,48436,1
amo06516,96,49374,1
amo06516,96,49871,4
amo06516,96,50165,1
amo06516,96,50370,1
amo06516,96,50387,4
amo06516,96,50710,4
amo06516,96,50718,1
amo06516,96,52746,4
amo06516,96,52755,1
amo06516,96,53711,1
amo06516,96,53726,1
amo06516,96,54001,2
amo06516,96,54146,2
amo06516,96,54402,2
amo06516,96,54603,1
amo06516,96,54666,2
amo06516,96,55484,4
amo06516,96,55602,1
amo06516,96,55987,2
amo06516,96,56386,1
amo06516,96,57014,2
amo06516,96,57340,1
amo06516,96,57915,4
amo06516,96,57969,4
amo06516,96,60259,2
amo06516,96,60310,2
amo06516,96,60332,1
amo06516,96,60484,4
amo06516,96,60499,4
amo06516,96,60563,1
amo06516,96,60886,1
amo06516,96,60935,4
amo06516,96,61027,2
amo06516,96,61696,1
amo06516,96,63116,4
amo06516,96,63219,4
amo06516,96,64449,1
amo06516,96,65009,4
amo06516,96,65819,4
amo06516,96,66362,2
amo06516,96,68039,1
amo06516,96,68046,1
amo06516,96,68445,1
amo06516,96,68939,1
amo06516,96,69537,1
amo06516,96,70691,1
amo06516,96,71367,2
amo06516,96,72401,1
amo06516,96,72418,2
amo06516,96,73939,1
amo06516,96,74325,4
amo06516,96,74332,4
amo06516,96,74628,4
amo06516,96,76397,1
amo06516,96,78218,4
amo06516,96,78740,1
amo06516,96,78909,2
amo06516,96,79238,2
amo06516,96,79300,2
amo06516,96,80474,1
amo06516,96,80557,1
amo06516,96,80696,1
amo06516,96,80775,2
amo06516,96,81005,4
amo06516,96,81826,1
amo06516,96,81872,2
amo06516,96,82061,2
amo06516,96,83288,2
amo06516,96,83664,2
amo06516,96,83728,4
